Name,Clone URL,Description,Updated At
100_days_of_python,https://github.com/Lakhwinderr/100_days_of_python.git,,2022-10-22T10:15:11Z
3-weeks-Google-Prep,https://github.com/Lakhwinderr/3-weeks-Google-Prep.git,,2022-06-21T13:36:17Z
50-HTML-CSS-JS-Project-Challenge,https://github.com/Lakhwinderr/50-HTML-CSS-JS-Project-Challenge.git,,2023-11-22T16:37:12Z
Advanced-React,https://github.com/Lakhwinderr/Advanced-React.git,Includes files from the advanced react course offered by meta.,2023-01-17T09:37:37Z
auroraeditor.com,https://github.com/Lakhwinderr/auroraeditor.com.git,Aurora Website,2022-10-12T06:32:57Z
Auth0-Challenges-GHW-Open-Source-2024,https://github.com/Lakhwinderr/Auth0-Challenges-GHW-Open-Source-2024.git,Auth0-Challenges-GHW-Open-Source-2024,2024-10-09T12:46:54Z
Auth0-Project,https://github.com/Lakhwinderr/Auth0-Project.git,,2024-10-11T13:47:21Z
axion-release-plugin,https://github.com/Lakhwinderr/axion-release-plugin.git,Gradle release & version management plugin.,2024-10-29T22:12:44Z
Backend-,https://github.com/Lakhwinderr/Backend-.git,includes backend learning resources,2024-06-11T19:12:39Z
Calculator,https://github.com/Lakhwinderr/Calculator.git,Simple Calculator App,2022-10-10T15:33:15Z
clock,https://github.com/Lakhwinderr/clock.git,javascript clock,2022-10-05T18:28:18Z
Coding-assessment-l2-Boilerplate-code,https://github.com/Lakhwinderr/Coding-assessment-l2-Boilerplate-code.git,,2024-04-23T15:19:57Z
CommunityTaught,https://github.com/Lakhwinderr/CommunityTaught.git,,2025-05-10T09:22:20Z
Coursera,https://github.com/Lakhwinderr/Coursera.git,,2022-12-16T15:59:27Z
coursera-test,https://github.com/Lakhwinderr/coursera-test.git,Coursera Test Repository,2022-06-16T08:28:03Z
Cross-Chain-Token-Transfer,https://github.com/Lakhwinderr/Cross-Chain-Token-Transfer.git,Demonstration of wormhole protocol to  transfer tokens between two blockchains.,2024-09-01T13:25:36Z
CS50-Web-Development,https://github.com/Lakhwinderr/CS50-Web-Development.git,,2023-09-03T18:33:35Z
curriculum,https://github.com/Lakhwinderr/curriculum.git,"This repo contains the curriculum of Techtonica, a free tech training program for women and non-binary adults with low incomes.",2024-10-30T19:23:19Z
CV-in-Html,https://github.com/Lakhwinderr/CV-in-Html.git,This is my html-version resume.,2022-10-18T17:01:26Z
cvless,https://github.com/Lakhwinderr/cvless.git,Jekyll theme for a beautiful online CV,2024-02-18T08:21:50Z
Dashboard-App-with-Next.js,https://github.com/Lakhwinderr/Dashboard-App-with-Next.js.git,,2025-04-26T10:35:25Z
day-planner,https://github.com/Lakhwinderr/day-planner.git,"This is day-planner project using html, css and js.",2022-10-18T08:55:14Z
Defang-Challenges-GHW-Open-Source-2024,https://github.com/Lakhwinderr/Defang-Challenges-GHW-Open-Source-2024.git,Defang Challenges GHW: Open Source 2024,2024-10-09T20:17:51Z
Developer-Network,https://github.com/Lakhwinderr/Developer-Network.git,,2023-07-29T15:52:44Z
dev_hactoberfest2k22,https://github.com/Lakhwinderr/dev_hactoberfest2k22.git,for hactoberfest,2022-10-06T14:18:29Z
DigitalOcean-Challenges-GHW-Open-Source-2024,https://github.com/Lakhwinderr/DigitalOcean-Challenges-GHW-Open-Source-2024.git,DigitalOcean Challenges | GHW: Open Source 2024,2024-10-10T18:00:50Z
DOM,https://github.com/Lakhwinderr/DOM.git,understanding basic DOM from next.js docs,2025-04-19T19:42:23Z
Fibery-Demo,https://github.com/Lakhwinderr/Fibery-Demo.git,Schedule a meeting ,2025-02-28T22:10:48Z
first-contributions,https://github.com/Lakhwinderr/first-contributions.git,🚀✨ Help beginners to contribute to open source projects,2022-10-05T11:10:02Z
FJP4-DEV,https://github.com/Lakhwinderr/FJP4-DEV.git,,2022-02-01T05:57:45Z
FreeCodeCamp-Responsive-Design,https://github.com/Lakhwinderr/FreeCodeCamp-Responsive-Design.git,,2024-07-10T08:23:55Z
Frontend-Revised,https://github.com/Lakhwinderr/Frontend-Revised.git,,2023-11-11T05:10:17Z
fullstack-course4,https://github.com/Lakhwinderr/fullstack-course4.git,"Example code for HTML, CSS, and Javascript for Web Developers Coursera Course",2022-06-16T07:41:19Z
ghw-demo-2024,https://github.com/Lakhwinderr/ghw-demo-2024.git,GHW Demo 2024,2024-10-05T16:05:35Z
GHW-WEB3-CRYPTOCOINS,https://github.com/Lakhwinderr/GHW-WEB3-CRYPTOCOINS.git,,2023-09-05T20:39:36Z
GitHub-Challenges-GHW-Open-Source-2024,https://github.com/Lakhwinderr/GitHub-Challenges-GHW-Open-Source-2024.git,GitHub Challenges GHW: Open Source 2024,2024-10-11T17:03:19Z
GitHub-Sustainability-GHW-Open-Source-Challenges,https://github.com/Lakhwinderr/GitHub-Sustainability-GHW-Open-Source-Challenges.git,GitHub Sustainability GHW: Open Source Challenges,2024-10-10T17:59:17Z
HACKTOBERFEST-22,https://github.com/Lakhwinderr/HACKTOBERFEST-22.git,Make your first PR! ~ A beginner friendly repository made specifically for open source beginners. Add any program under any language (it can be anything from a hello-world program to a complex data structure algorithm) or update the existing one. Just make sure you add the program under the correct language directory. Happy coding ,2022-10-11T13:46:51Z
Hacktoberfest2022,https://github.com/Lakhwinderr/Hacktoberfest2022.git,,2022-10-03T16:45:02Z
Hactoberfest2022,https://github.com/Lakhwinderr/Hactoberfest2022.git,Contribute on this repository with valid pull request to Hacktoberfest 2022 and earn amazing swags!,2022-10-16T06:59:31Z
Harkirat-0-100,https://github.com/Lakhwinderr/Harkirat-0-100.git,my code for harkirat's full-stack course,2024-11-15T00:34:39Z
Html5Canvas,https://github.com/Lakhwinderr/Html5Canvas.git,,2024-07-20T11:54:31Z
InnovateHub,https://github.com/Lakhwinderr/InnovateHub.git,,2024-04-02T22:28:03Z
javascript-algorithms,https://github.com/Lakhwinderr/javascript-algorithms.git,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,2024-06-05T11:51:07Z
JavaScript30,https://github.com/Lakhwinderr/JavaScript30.git,Javascript 30 day challenge by Wes Bos.,2024-07-15T11:46:04Z
Lakhwinderr,https://github.com/Lakhwinderr/Lakhwinderr.git,Config files for my GitHub profile.,2025-04-01T14:37:51Z
Lakhwinderr.github.io,https://github.com/Lakhwinderr/Lakhwinderr.github.io.git,Personal Blog,2024-12-09T09:40:18Z
leetcode,https://github.com/Lakhwinderr/leetcode.git,,2024-05-25T16:57:27Z
little-lemon,https://github.com/Lakhwinderr/little-lemon.git,Frontend Capstone Project,2025-02-28T20:44:57Z
Lucky-Shrubs-Portfolio-Project,https://github.com/Lakhwinderr/Lucky-Shrubs-Portfolio-Project.git,This is a garden startup website.,2023-04-08T02:40:48Z
m3l2_forking_lab,https://github.com/Lakhwinderr/m3l2_forking_lab.git,,2022-12-03T19:20:51Z
m4l1_managing_a_project,https://github.com/Lakhwinderr/m4l1_managing_a_project.git,,2022-11-28T18:00:15Z
Marmeto,https://github.com/Lakhwinderr/Marmeto.git,Simple Clothing Landing page,2025-02-28T21:10:29Z
META-Backend-Complete-Specialization,https://github.com/Lakhwinderr/META-Backend-Complete-Specialization.git,Notes and Code from the META Backend Complete Specialization.,2023-09-25T17:41:38Z
NEETCODE,https://github.com/Lakhwinderr/NEETCODE.git,Learning material for topics to solve DSA questions.,2024-07-26T15:22:35Z
NextJs,https://github.com/Lakhwinderr/NextJs.git,getting hands dirty with nextjs,2023-09-02T20:01:24Z
Open-Source-Discovery,https://github.com/Lakhwinderr/Open-Source-Discovery.git,"Open Source Discovery project to help  helps beginners discover OS projects based on seversal queries such as labels, stars, forks, etc.",2024-11-19T05:36:58Z
Oracle-Challenges-GHW-Open-Source-2024-Challenges,https://github.com/Lakhwinderr/Oracle-Challenges-GHW-Open-Source-2024-Challenges.git,Oracle Challenges GHW: Open Source 2024 Challenges,2024-10-10T17:59:06Z
pepcodingCodes,https://github.com/Lakhwinderr/pepcodingCodes.git,,2025-06-20T16:24:34Z
PlaylistAdda,https://github.com/Lakhwinderr/PlaylistAdda.git,A fun project for friends through which anyone can share their music playlists.,2022-10-19T05:27:18Z
Portfolio,https://github.com/Lakhwinderr/Portfolio.git,,2023-07-02T00:34:19Z
Portfolio-Updated,https://github.com/Lakhwinderr/Portfolio-Updated.git,,2023-11-24T12:59:43Z
Programmable_Wallet,https://github.com/Lakhwinderr/Programmable_Wallet.git,,2024-03-03T19:08:15Z
random-website,https://github.com/Lakhwinderr/random-website.git,get back focus,2022-10-30T22:20:56Z
React-Basics,https://github.com/Lakhwinderr/React-Basics.git,react basics from next.js,2025-04-25T18:07:36Z
ReactTailwindBoilerplate,https://github.com/Lakhwinderr/ReactTailwindBoilerplate.git,,2024-04-22T16:36:48Z
Real-Time-Data-React-App,https://github.com/Lakhwinderr/Real-Time-Data-React-App.git,GHW August Data: Realtime Data App,2023-08-05T01:52:08Z
rebus,https://github.com/Lakhwinderr/rebus.git,🌟 👣 Take your first steps as an open source contributor,2022-10-05T14:01:15Z
SnakeGame,https://github.com/Lakhwinderr/SnakeGame.git,,2023-02-13T07:07:00Z
SnakeGame2,https://github.com/Lakhwinderr/SnakeGame2.git,My very own first snake game.,2023-02-14T13:42:50Z
team-lakshya,https://github.com/Lakhwinderr/team-lakshya.git,Grammerhub | Team LAKSHYA,2024-06-04T10:36:40Z
TinyMCE-Challenges-GHW-Open-Source-2024,https://github.com/Lakhwinderr/TinyMCE-Challenges-GHW-Open-Source-2024.git,TinyMCE Challenges | GHW: Open Source 2024,2024-10-11T11:38:04Z
Traversy-JS-Challenges,https://github.com/Lakhwinderr/Traversy-JS-Challenges.git,,2024-02-21T09:20:48Z
trial,https://github.com/Lakhwinderr/trial.git,,2022-02-01T05:55:10Z
weather-app,https://github.com/Lakhwinderr/weather-app.git,Weather app with JavaScript and api,2022-10-06T03:03:32Z
Website-pep,https://github.com/Lakhwinderr/Website-pep.git,,2022-01-13T18:56:05Z
yup,https://github.com/Lakhwinderr/yup.git,Dead simple Object schema validation,2023-03-06T17:52:32Z
